,co2,temp,humidity,pressure,gas_resistance,pm1_0,pm2_5,pm4_0,pm10_0,pnc_0_5,pnc_1_0,pnc_2_5,pnc_4_0,pnc_10_0,tps
[2026-05-08 00:14:19.111] ,507,27.33,32.28,100576.48,277883.31,8.24,8.76,8.79,8.8,57.75,65.52,65.79,65.81,65.82,0.45
[2026-05-08 00:14:24.121] ,506,27.34,32.24,100576.68,278791.19,8.01,8.5,8.53,8.55,56.08,63.63,63.89,63.9,63.91,0.46
[2026-05-08 00:14:29.139] ,506,27.36,32.22,100577.97,278109.72,7.99,8.49,8.52,8.53,55.94,63.47,63.74,63.75,63.76,0.47
[2026-05-08 00:14:34.152] ,505,27.36,32.17,100577.34,278563.66,8.21,8.72,8.75,8.77,57.48,65.22,65.49,65.51,65.51,0.46
[2026-05-08 00:14:39.165] ,504,27.32,32.15,100577.63,278336.5,8.52,9.05,9.09,9.1,59.69,67.73,68.01,68.03,68.04,0.46
[2026-05-08 00:14:44.182] ,503,27.31,32.19,100577.04,277883.31,8.74,9.28,9.32,9.33,61.22,69.46,69.75,69.77,69.78,0.46
[2026-05-08 00:14:49.191] ,502,27.34,32.2,100576.48,277206.28,8.81,9.36,9.39,9.41,61.7,70.01,70.3,70.32,70.32,0.46
[2026-05-08 00:14:54.212] ,501,27.33,32.18,100577.12,277206.28,8.9,9.45,9.49,9.5,62.34,70.73,71.02,71.04,71.04,0.46
[2026-05-08 00:14:59.221] ,500,27.3,32.19,100576.77,278336.5,8.82,9.37,9.4,9.42,61.81,70.13,70.42,70.44,70.44,0.46
[2026-05-08 00:15:04.241] ,498,27.31,32.21,100575.71,277431.59,8.61,9.15,9.18,9.19,60.35,68.46,68.74,68.76,68.77,0.45
[2026-05-08 00:15:09.250] ,497,27.29,32.24,100576.75,278563.66,8.65,9.19,9.22,9.23,60.62,68.77,69.05,69.07,69.08,0.45
[2026-05-08 00:15:14.262] ,497,27.28,32.27,100576.47,277431.59,8.44,8.96,8.99,9,59.1,67.05,67.32,67.34,67.35,0.46
[2026-05-08 00:15:19.282] ,498,27.31,32.32,100578.06,277206.28,8.39,8.91,8.94,8.95,58.75,66.66,66.93,66.95,66.96,0.45
[2026-05-08 00:15:24.289] ,498,27.34,32.3,100577.44,275862.06,8.58,9.11,9.14,9.16,60.13,68.21,68.49,68.51,68.51,0.45
[2026-05-08 00:15:29.311] ,497,27.32,32.27,100577.84,277883.31,8.51,9.03,9.05,9.07,59.6,67.61,67.88,67.9,67.9,0.45
[2026-05-08 00:15:34.321] ,496,27.32,32.27,100578.16,278791.19,8.21,8.71,8.73,8.75,57.52,65.25,65.5,65.52,65.53,0.45
[2026-05-08 00:15:39.335] ,497,27.37,32.26,100575.94,278109.72,8.03,8.52,8.54,8.56,56.29,63.85,64.1,64.12,64.12,0.45
[2026-05-08 00:15:44.353] ,496,27.31,32.22,100577.02,280394.31,8.03,8.52,8.55,8.56,56.28,63.84,64.09,64.11,64.12,0.45
[2026-05-08 00:15:49.366] ,496,27.29,32.18,100576.02,281318.69,7.89,8.37,8.39,8.41,55.28,62.71,62.96,62.97,62.98,0.45
[2026-05-08 00:15:54.381] ,495,27.24,32.2,100577.19,282482.75,8.02,8.5,8.53,8.54,56.17,63.72,63.97,63.99,64,0.45
[2026-05-08 00:15:59.391] ,495,27.23,32.19,100577.15,281550.72,7.96,8.44,8.46,8.47,55.78,63.27,63.52,63.53,63.54,0.45
[2026-05-08 00:16:04.413] ,494,27.2,32.21,100577.97,282482.75,7.58,8.04,8.06,8.07,53.16,60.29,60.52,60.54,60.54,0.44
[2026-05-08 00:16:09.430] ,496,27.22,32.25,100577.66,283420.97,7.29,7.73,7.75,7.76,51.13,57.99,58.22,58.23,58.24,0.44
[2026-05-08 00:16:14.444] ,495,27.23,32.22,100577.29,284840.06,7.59,8.05,8.06,8.07,53.23,60.37,60.6,60.62,60.62,0.45
[2026-05-08 00:16:19.460] ,494,27.26,32.2,100575.89,280855.72,7.7,8.15,8.17,8.17,53.95,61.18,61.41,61.43,61.43,0.45
[2026-05-08 00:16:24.471] ,494,27.28,32.18,100576.7,281550.72,7.81,8.28,8.29,8.3,54.78,62.12,62.36,62.38,62.38,0.46
[2026-05-08 00:16:29.481] ,493,27.33,32.15,100577.64,280394.31,7.83,8.3,8.31,8.32,54.89,62.24,62.48,62.5,62.5,0.46
[2026-05-08 00:16:34.502] ,495,27.36,32.14,100578.09,279705,7.6,8.05,8.07,8.08,53.25,60.39,60.63,60.64,60.65,0.46
[2026-05-08 00:16:39.513] ,495,27.38,32.1,100578.37,278791.19,7.51,7.97,7.98,7.99,52.66,59.73,59.96,59.97,59.98,0.46
[2026-05-08 00:16:44.532] ,495,27.41,32.07,100578.18,278336.5,7.45,7.9,7.91,7.92,52.21,59.21,59.44,59.46,59.46,0.45
[2026-05-08 00:16:49.552] ,496,27.43,32.03,100577.89,278791.19,7.18,7.61,7.63,7.64,50.31,57.06,57.28,57.3,57.3,0.45
[2026-05-08 00:16:54.561] ,495,27.42,31.99,100579.05,278791.19,7.25,7.68,7.7,7.71,50.79,57.6,57.83,57.84,57.85,0.46
[2026-05-08 00:16:59.578] ,496,27.38,31.96,100577.69,279705,7.21,7.65,7.66,7.67,50.54,57.32,57.54,57.56,57.56,0.46
[2026-05-08 00:17:04.598] ,498,27.34,32,100577.82,279705,7.34,7.78,7.8,7.81,51.45,58.35,58.58,58.59,58.6,0.46
[2026-05-08 00:17:09.612] ,496,27.33,32.01,100579.35,281318.69,7.39,7.83,7.85,7.86,51.77,58.72,58.95,58.96,58.97,0.46
[2026-05-08 00:17:14.622] ,495,27.3,32.04,100579.47,281087.03,7.51,7.97,7.98,7.99,52.66,59.73,59.96,59.97,59.98,0.46
[2026-05-08 00:17:19.641] ,495,27.32,32.07,100579.59,281550.72,7.83,8.3,8.32,8.33,54.9,62.26,62.5,62.52,62.53,0.45
[2026-05-08 00:17:24.655] ,494,27.34,32.08,100579.35,281087.03,8.02,8.5,8.52,8.53,56.25,63.79,64.04,64.05,64.06,0.45
[2026-05-08 00:17:29.669] ,492,27.34,32.07,100580.27,280855.72,7.77,8.23,8.25,8.25,54.47,61.77,62,62.01,62.02,0.45
[2026-05-08 00:17:34.688] ,492,27.37,32.07,100579.89,280624.84,7.55,8,8.01,8.02,52.93,60.02,60.25,60.26,60.27,0.45
[2026-05-08 00:17:39.697] ,494,27.37,32.08,100579.73,280164.16,7.38,7.82,7.83,7.83,51.75,58.68,58.9,58.91,58.92,0.44
[2026-05-08 00:17:44.711] ,493,27.39,32.1,100579.93,278109.72,7.2,7.62,7.63,7.64,50.48,57.24,57.46,57.47,57.48,0.45
[2026-05-08 00:17:49.732] ,494,27.41,32.1,100579.56,278563.66,7.25,7.68,7.69,7.69,50.84,57.65,57.86,57.88,57.88,0.46
[2026-05-08 00:17:54.738] ,494,27.38,32.08,100579.71,278563.66,7.15,7.57,7.58,7.58,50.11,56.82,57.04,57.05,57.05,0.46
[2026-05-08 00:17:59.761] ,493,27.37,32.06,100579.66,279705,7.22,7.64,7.65,7.66,50.6,57.37,57.59,57.6,57.61,0.45
[2026-05-08 00:18:04.768] ,493,27.35,32.07,100580.43,280394.31,7.51,7.95,7.96,7.97,52.66,59.71,59.93,59.95,59.95,0.45
[2026-05-08 00:18:09.792] ,493,27.35,32.07,100579.62,281087.03,7.34,7.77,7.78,7.78,51.46,58.34,58.56,58.58,58.58,0.45
[2026-05-08 00:18:14.802] ,493,27.39,32.09,100578.6,280164.16,7.27,7.7,7.71,7.72,51,57.83,58.05,58.06,58.06,0.44
[2026-05-08 00:18:19.813] ,492,27.41,32.05,100577.62,280394.31,7.38,7.81,7.82,7.83,51.74,58.67,58.89,58.9,58.91,0.45
[2026-05-08 00:18:24.832] ,490,27.42,32.02,100577.71,278791.19,7.33,7.77,7.78,7.78,51.42,58.3,58.52,58.53,58.54,0.45
[2026-05-08 00:18:29.841] ,492,27.39,31.96,100577.8,271906.53,7.56,8,8.01,8.02,52.98,60.07,60.29,60.31,60.31,0.45
[2026-05-08 00:18:34.862] ,494,27.28,31.93,100578.99,272993.88,7.74,8.2,8.21,8.21,54.26,61.53,61.76,61.77,61.78,0.45
[2026-05-08 00:18:39.877] ,493,27.33,31.99,100580.02,274751.81,7.66,8.11,8.13,8.13,53.71,60.9,61.13,61.15,61.15,0.45
[2026-05-08 00:18:44.892] ,494,27.36,32.04,100577.73,276308.69,7.7,8.16,8.17,8.18,53.98,61.22,61.45,61.47,61.47,0.46
[2026-05-08 00:18:49.903] ,492,27.37,32.04,100578.8,274310.22,7.6,8.06,8.08,8.09,53.29,60.44,60.67,60.69,60.69,0.45
[2026-05-08 00:18:54.915] ,491,27.39,32.01,100578.75,274530.84,7.64,8.1,8.12,8.13,53.55,60.73,60.97,60.99,60.99,0.45
[2026-05-08 00:18:59.931] ,491,27.37,32,100578.46,273870.03,7.49,7.95,7.97,7.98,52.52,59.57,59.81,59.82,59.83,0.44
[2026-05-08 00:19:04.951] ,490,27.34,32,100578.09,274973.16,7.28,7.72,7.75,7.76,51,57.85,58.08,58.1,58.1,0.45
[2026-05-08 00:19:09.962] ,489,27.32,32.01,100578.41,276532.53,7.48,7.94,7.97,7.98,52.42,59.46,59.7,59.72,59.73,0.45
[2026-05-08 00:19:14.982] ,491,27.3,32,100577.44,278563.66,7.38,7.84,7.86,7.88,51.71,58.66,58.9,58.92,58.92,0.45
[2026-05-08 00:19:19.992] ,490,27.33,32.01,100578.93,278109.72,7.08,7.52,7.55,7.56,49.57,56.25,56.48,56.49,56.5,0.45
[2026-05-08 00:19:25.010] ,490,27.31,31.98,100576.55,279705,6.88,7.31,7.34,7.36,48.2,54.69,54.92,54.94,54.94,0.45
[2026-05-08 00:19:30.018] ,490,27.3,31.98,100577.95,279934.38,6.9,7.33,7.36,7.38,48.33,54.84,55.07,55.09,55.09,0.45
[2026-05-08 00:19:35.035] ,489,27.24,31.95,100578.76,279247.34,7.02,7.46,7.49,7.51,49.17,55.8,56.03,56.05,56.05,0.45
[2026-05-08 00:19:40.048] ,489,27.16,31.95,100581.18,279247.34,7.14,7.59,7.62,7.63,49.97,56.71,56.95,56.97,56.97,0.45
[2026-05-08 00:19:45.066] ,488,27.17,32.05,100582.09,278791.19,7.32,7.78,7.81,7.83,51.25,58.16,58.4,58.42,58.43,0.45
[2026-05-08 00:19:50.081] ,487,27.16,32.08,100582.57,279705,7.28,7.73,7.76,7.78,50.95,57.82,58.06,58.07,58.08,0.45
[2026-05-08 00:19:55.094] ,486,27.12,32.08,100581.8,279934.38,7.13,7.57,7.6,7.61,49.91,56.63,56.86,56.88,56.89,0.44
[2026-05-08 00:20:00.111] ,485,27.17,32.11,100581.32,278791.19,6.99,7.43,7.45,7.47,48.99,55.58,55.81,55.82,55.83,0.44
[2026-05-08 00:20:05.125] ,482,27.21,32.14,100579.67,276756.75,7.02,7.46,7.48,7.49,49.2,55.82,56.05,56.06,56.07,0.44
[2026-05-08 00:20:10.142] ,482,27.26,32.15,100578.87,275194.84,7.1,7.52,7.54,7.54,49.8,56.47,56.69,56.7,56.7,0.44
[2026-05-08 00:20:15.152] ,483,27.29,32.11,100578.48,276308.69,7.06,7.48,7.49,7.49,49.51,56.14,56.34,56.36,56.36,0.44
[2026-05-08 00:20:20.172] ,481,27.31,32.09,100578.62,276756.75,7.19,7.61,7.61,7.61,50.44,57.18,57.39,57.4,57.4,0.43
[2026-05-08 00:20:25.183] ,483,27.28,32.05,100578.24,278791.19,7.2,7.61,7.61,7.61,50.48,57.22,57.42,57.44,57.44,0.43
[2026-05-08 00:20:30.191] ,482,27.29,32.04,100577.63,278563.66,7.22,7.64,7.64,7.64,50.68,57.44,57.65,57.66,57.66,0.43
[2026-05-08 00:20:35.209] ,483,27.24,32.01,100579.36,283656.5,7.37,7.79,7.79,7.79,51.7,58.6,58.81,58.82,58.83,0.43
[2026-05-08 00:20:40.229] ,482,27.2,31.97,100578.59,285316.25,7.37,7.79,7.79,7.79,51.71,58.62,58.83,58.84,58.85,0.42
[2026-05-08 00:20:45.242] ,483,27.16,31.99,100581.96,283420.97,7.29,7.71,7.71,7.71,51.15,57.98,58.19,58.2,58.21,0.42
[2026-05-08 00:20:50.252] ,482,27.15,32.05,100581.93,284365.47,7.16,7.58,7.58,7.58,50.26,56.97,57.17,57.18,57.19,0.43
[2026-05-08 00:20:55.272] ,481,27.09,32.06,100579.97,284602.56,6.96,7.36,7.36,7.36,48.86,55.38,55.58,55.59,55.6,0.43
[2026-05-08 00:21:00.282] ,483,27.07,32.08,100578.86,285316.25,7.1,7.51,7.51,7.51,49.83,56.49,56.69,56.7,56.71,0.43
[2026-05-08 00:21:05.297] ,482,27.06,32.08,100579.84,285794.03,6.99,7.39,7.39,7.39,49.03,55.58,55.77,55.79,55.79,0.42
[2026-05-08 00:21:10.311] ,480,27.09,32.12,100580.11,284365.47,6.89,7.29,7.29,7.29,48.36,54.82,55.02,55.03,55.03,0.42
[2026-05-08 00:21:15.321] ,481,27.15,32.09,100580.74,284602.56,6.8,7.2,7.2,7.2,47.74,54.11,54.3,54.31,54.32,0.42
[2026-05-08 00:21:20.336] ,480,27.17,32.06,100580.94,282951.09,6.76,7.15,7.15,7.15,47.42,53.75,53.94,53.95,53.96,0.42
[2026-05-08 00:21:25.357] ,481,27.18,32.05,100580.05,281318.69,6.68,7.07,7.07,7.07,46.88,53.14,53.33,53.34,53.35,0.42
[2026-05-08 00:21:30.370] ,481,27.2,32.05,100579.77,280164.16,6.54,6.92,6.92,6.92,45.89,52.02,52.2,52.21,52.22,0.42
[2026-05-08 00:21:35.381] ,480,27.23,32.04,100576.57,280624.84,6.4,6.76,6.76,6.76,44.88,50.87,51.05,51.06,51.07,0.42
[2026-05-08 00:21:40.401] ,480,27.26,32.02,100578.56,279934.38,6.26,6.62,6.62,6.62,43.94,49.8,49.98,49.99,50,0.42
[2026-05-08 00:21:45.413] ,480,27.28,32.01,100577.61,277883.31,6.42,6.79,6.79,6.79,45.03,51.04,51.23,51.24,51.24,0.42
[2026-05-08 00:21:50.431] ,480,27.27,31.95,100577.27,279705,6.48,6.85,6.85,6.85,45.46,51.53,51.71,51.72,51.72,0.42
[2026-05-08 00:21:55.441] ,480,27.25,31.94,100576.85,281550.72,6.47,6.84,6.84,6.84,45.36,51.42,51.6,51.61,51.61,0.42
[2026-05-08 00:22:00.451] ,481,27.18,31.9,100580.19,285554.94,6.67,7.05,7.05,7.05,46.77,53.01,53.2,53.21,53.21,0.42
[2026-05-08 00:22:05.473] ,479,27.19,31.9,100578.99,283656.5,6.83,7.22,7.22,7.22,47.89,54.28,54.47,54.48,54.49,0.42
[2026-05-08 00:22:10.484] ,478,27.13,31.92,100579.34,286033.53,6.88,7.28,7.28,7.28,48.3,54.75,54.95,54.96,54.96,0.42
[2026-05-08 00:22:15.504] ,478,27.14,31.96,100580.92,284840.06,6.79,7.18,7.18,7.18,47.63,53.98,54.18,54.19,54.19,0.43
[2026-05-08 00:22:20.511] ,477,27.17,31.95,100582,285077.94,6.64,7.02,7.02,7.02,46.56,52.78,52.96,52.98,52.98,0.43
[2026-05-08 00:22:25.535] ,478,27.21,31.94,100578.52,283656.5,6.57,6.95,6.95,6.95,46.11,52.27,52.46,52.47,52.47,0.43
[2026-05-08 00:22:30.552] ,476,27.23,31.93,100577.12,283892.44,6.59,6.96,6.96,6.96,46.2,52.37,52.56,52.57,52.57,0.42
[2026-05-08 00:22:35.562] ,477,27.26,31.91,100577.69,281087.03,6.6,6.98,6.98,6.98,46.31,52.49,52.68,52.69,52.69,0.42
[2026-05-08 00:22:40.581] ,477,27.29,31.88,100578.57,279934.38,6.77,7.16,7.16,7.16,47.5,53.84,54.04,54.05,54.05,0.43
[2026-05-08 00:22:45.586] ,477,27.29,31.84,100577.36,279705,6.88,7.28,7.28,7.28,48.28,54.73,54.93,54.94,54.94,0.42
[2026-05-08 00:22:50.601] ,476,27.31,31.8,100578.12,280164.16,6.9,7.29,7.29,7.29,48.39,54.85,55.04,55.05,55.06,0.42
[2026-05-08 00:22:55.621] ,477,27.3,31.79,100577.37,280855.72,6.77,7.16,7.16,7.16,47.51,53.85,54.04,54.05,54.06,0.41
[2026-05-08 00:23:00.635] ,475,27.25,31.77,100575.12,282015.97,6.67,7.05,7.05,7.05,46.8,53.05,53.24,53.25,53.26,0.42
[2026-05-08 00:23:05.651] ,474,27.24,31.77,100575.09,283892.44,6.75,7.14,7.14,7.14,47.35,53.67,53.86,53.87,53.88,0.41
[2026-05-08 00:23:10.666] ,474,27.26,31.79,100575.08,283892.44,7.08,7.48,7.48,7.48,49.65,56.28,56.48,56.5,56.5,0.42
[2026-05-08 00:23:15.679] ,474,27.31,31.8,100576.6,282015.97,7.17,7.58,7.58,7.58,50.27,56.98,57.19,57.2,57.2,0.41
[2026-05-08 00:23:20.691] ,474,27.33,31.78,100576.82,281318.69,7.38,7.8,7.8,7.8,51.77,58.68,58.89,58.9,58.91,0.42
[2026-05-08 00:23:25.711] ,472,27.36,31.81,100579.2,280394.31,7.33,7.75,7.75,7.75,51.39,58.25,58.46,58.47,58.48,0.42
[2026-05-08 00:23:30.725] ,471,27.37,31.85,100577.11,278109.72,7.04,7.45,7.45,7.45,49.42,56.02,56.21,56.23,56.23,0.41
[2026-05-08 00:23:35.741] ,470,27.36,31.88,100576.62,276756.75,6.81,7.2,7.2,7.2,47.75,54.13,54.32,54.33,54.34,0.41
[2026-05-08 00:23:40.757] ,468,27.37,31.9,100577.73,275639.31,6.43,6.8,6.8,6.8,45.12,51.15,51.33,51.34,51.34,0.41
[2026-05-08 00:23:45.773] ,467,27.37,31.93,100576.69,275862.06,6.1,6.45,6.45,6.45,42.8,48.51,48.68,48.69,48.7,0.41
[2026-05-08 00:23:50.782] ,467,27.38,31.89,100576.8,277883.31,6.04,6.39,6.39,6.39,42.41,48.07,48.24,48.25,48.25,0.41
[2026-05-08 00:23:55.803] ,472,27.38,31.84,100575.75,276756.75,6.22,6.57,6.57,6.57,43.61,49.43,49.61,49.62,49.62,0.42
[2026-05-08 00:24:00.814] ,472,27.38,31.85,100577.54,276308.69,6.37,6.73,6.73,6.73,44.66,50.63,50.81,50.82,50.82,0.42
[2026-05-08 00:24:05.824] ,471,27.36,31.84,100577.72,277206.28,6.57,6.95,6.95,6.95,46.12,52.27,52.46,52.47,52.48,0.42
[2026-05-08 00:24:10.841] ,473,27.32,31.87,100578.06,276981.34,6.64,7.02,7.02,7.02,46.59,52.81,53,53.01,53.02,0.41
[2026-05-08 00:24:15.854] ,473,27.31,31.94,100576.86,278109.72,6.6,6.98,6.98,6.98,46.3,52.48,52.67,52.68,52.69,0.41
[2026-05-08 00:24:20.872] ,473,27.36,31.97,100576.03,276308.69,6.48,6.85,6.85,6.85,45.45,51.52,51.7,51.71,51.72,0.41
[2026-05-08 00:24:25.892] ,475,27.39,31.95,100575.59,276756.75,6.7,7.08,7.08,7.08,46.97,53.25,53.44,53.45,53.45,0.41
[2026-05-08 00:24:30.902] ,478,27.4,31.95,100575.63,273650.47,6.98,7.38,7.38,7.38,48.97,55.5,55.7,55.71,55.72,0.41
[2026-05-08 00:24:35.921] ,480,27.4,31.96,100576.17,274973.16,7.24,7.66,7.66,7.66,50.81,57.6,57.8,57.81,57.82,0.4
[2026-05-08 00:24:40.929] ,481,27.4,31.94,100576.27,276308.69,7.39,7.81,7.81,7.81,51.81,58.73,58.94,58.95,58.96,0.4
[2026-05-08 00:24:45.943] ,481,27.35,31.95,100575.98,275416.91,7.24,7.66,7.66,7.66,50.79,57.57,57.77,57.79,57.79,0.4
[2026-05-08 00:24:50.957] ,481,27.38,31.98,100575.64,276308.69,7.49,7.92,7.92,7.92,52.55,59.57,59.78,59.79,59.8,0.4
[2026-05-08 00:24:55.980] ,483,27.36,31.99,100575.27,275194.84,7.78,8.22,8.22,8.22,54.55,61.83,62.06,62.07,62.07,0.41
[2026-05-08 00:25:00.990] ,486,27.38,31.99,100575.23,277431.59,7.67,8.11,8.11,8.11,53.82,61,61.22,61.23,61.24,0.4
[2026-05-08 00:25:05.997] ,488,27.4,31.96,100576.12,276308.69,7.53,7.96,7.96,7.96,52.8,59.85,60.07,60.08,60.08,0.41
[2026-05-08 00:25:11.015] ,488,27.4,31.96,100575.91,273870.03,7.2,7.61,7.61,7.61,50.5,57.25,57.45,57.46,57.47,0.41
[2026-05-08 00:25:16.031] ,490,27.38,31.99,100575.01,273870.03,7.33,7.75,7.75,7.75,51.42,58.29,58.49,58.51,58.51,0.42
[2026-05-08 00:25:21.042] ,492,27.34,32.06,100575.05,273212.38,7.42,7.84,7.84,7.84,52.03,58.97,59.18,59.19,59.2,0.41
[2026-05-08 00:25:26.061] ,491,27.35,32.14,100576.55,273212.38,7.55,7.99,7.99,7.99,52.98,60.05,60.27,60.28,60.29,0.42
[2026-05-08 00:25:31.067] ,494,27.34,32.14,100577.14,274089.94,7.85,8.3,8.3,8.3,55.1,62.45,62.67,62.69,62.69,0.41
[2026-05-08 00:25:36.081] ,496,27.35,32.12,100576.83,274310.22,7.6,8.04,8.04,8.04,53.35,60.48,60.69,60.7,60.71,0.41
[2026-05-08 00:25:41.101] ,496,27.36,32.11,100576.09,274310.22,7.35,7.77,7.77,7.77,51.58,58.47,58.68,58.69,58.69,0.41
[2026-05-08 00:25:46.111] ,496,27.32,32.09,100575.81,275862.06,7.02,7.42,7.42,7.42,49.25,55.82,56.02,56.03,56.04,0.41
[2026-05-08 00:25:51.130] ,500,27.36,32.1,100576.96,274751.81,6.66,7.05,7.05,7.05,46.75,52.99,53.18,53.19,53.2,0.4
[2026-05-08 00:25:56.142] ,504,27.35,32.1,100577.92,274530.84,6.27,6.63,6.63,6.63,44,49.87,50.05,50.06,50.07,0.4
[2026-05-08 00:26:01.151] ,504,27.3,32.09,100576.66,276981.34,6.04,6.39,6.39,6.39,42.38,48.04,48.21,48.22,48.23,0.4
[2026-05-08 00:26:06.173] ,504,27.29,32.11,100576.34,275862.06,5.91,6.25,6.25,6.25,41.49,47.03,47.19,47.2,47.21,0.41
[2026-05-08 00:26:11.181] ,505,27.3,32.12,100576.73,274310.22,5.91,6.25,6.25,6.25,41.47,47.01,47.17,47.18,47.19,0.41
[2026-05-08 00:26:16.195] ,504,27.31,32.14,100576.12,275194.84,6.1,6.45,6.45,6.45,42.8,48.52,48.69,48.7,48.7,0.41
[2026-05-08 00:26:21.217] ,506,27.33,32.16,100573.98,272775.72,6.43,6.8,6.8,6.8,45.1,51.12,51.3,51.31,51.32,0.41
[2026-05-08 00:26:26.231] ,508,27.33,32.17,100573.81,274089.94,6.44,6.81,6.81,6.81,45.15,51.18,51.36,51.37,51.38,0.42
[2026-05-08 00:26:31.242] ,510,27.31,32.17,100573.73,273870.03,6.39,6.76,6.76,6.76,44.86,50.85,51.03,51.05,51.05,0.41
[2026-05-08 00:26:36.250] ,509,27.26,32.19,100574.08,276308.69,6.41,6.78,6.78,6.78,44.99,51,51.18,51.19,51.19,0.41
[2026-05-08 00:26:41.271] ,507,27.24,32.2,100572.24,277431.59,6.2,6.56,6.56,6.56,43.5,49.31,49.48,49.49,49.5,0.4
[2026-05-08 00:26:46.284] ,508,27.26,32.21,100572.59,275639.31,6.1,6.46,6.46,6.46,42.83,48.55,48.72,48.73,48.74,0.4
[2026-05-08 00:26:51.292] ,509,27.23,32.21,100574.67,277206.28,6.1,6.45,6.45,6.45,42.79,48.5,48.67,48.68,48.68,0.39
[2026-05-08 00:26:56.309] ,510,27.21,32.24,100572.27,277206.28,6.25,6.61,6.61,6.61,43.84,49.69,49.87,49.88,49.88,0.4
[2026-05-08 00:27:01.313] ,512,27.23,32.28,100572.55,276085.19,6.59,6.97,6.97,6.97,46.26,52.43,52.62,52.63,52.63,0.4
[2026-05-08 00:27:06.331] ,513,27.27,32.31,100573.48,273431.25,6.69,7.07,7.07,7.07,46.91,53.17,53.36,53.37,53.37,0.4
