,co2,temp,humidity,pressure,gas_resistance,pm1_0,pm2_5,pm4_0,pm10_0,pnc_0_5,pnc_1_0,pnc_2_5,pnc_4_0,pnc_10_0,tps
[2026-05-08 00:12:23.781] ,508,27.3,32.47,100575.63,279475.97,8.64,9.13,9.13,9.13,60.58,68.67,68.91,68.93,68.94,0.43
[2026-05-08 00:12:28.801] ,507,27.26,32.46,100576.86,277883.31,8.71,9.22,9.22,9.22,61.14,69.3,69.55,69.57,69.57,0.43
[2026-05-08 00:12:33.812] ,509,27.26,32.45,100576.8,276756.75,9.02,9.54,9.54,9.54,63.31,71.76,72.02,72.03,72.04,0.43
[2026-05-08 00:12:38.831] ,510,27.26,32.45,100577.05,277883.31,8.62,9.12,9.12,9.12,60.51,68.58,68.83,68.84,68.85,0.43
[2026-05-08 00:12:43.841] ,511,27.29,32.5,100575.78,277206.28,8.5,8.99,8.99,8.99,59.66,67.63,67.87,67.88,67.89,0.43
[2026-05-08 00:12:48.859] ,511,27.33,32.5,100576.66,277431.59,8.54,9.03,9.03,9.03,59.9,67.9,68.14,68.15,68.16,0.43
[2026-05-08 00:12:53.873] ,511,27.32,32.43,100575.92,279019.06,8.43,8.91,8.91,8.91,59.14,67.03,67.27,67.28,67.29,0.44
[2026-05-08 00:12:58.889] ,510,27.31,32.32,100576.24,281783.16,8.12,8.59,8.59,8.59,57,64.61,64.84,64.85,64.86,0.43
[2026-05-08 00:13:03.904] ,510,27.29,32.3,100575.21,279705,8.04,8.5,8.5,8.5,56.41,63.94,64.16,64.18,64.18,0.43
[2026-05-08 00:13:08.911] ,510,27.28,32.32,100575.26,280164.16,8.11,8.57,8.57,8.58,56.88,64.48,64.71,64.72,64.73,0.44
[2026-05-08 00:13:13.931] ,509,27.26,32.32,100574.92,280394.31,8.24,8.72,8.72,8.72,57.8,65.52,65.76,65.77,65.78,0.44
[2026-05-08 00:13:18.939] ,508,27.28,32.35,100575.51,278791.19,7.9,8.36,8.36,8.36,55.38,62.79,63.02,63.03,63.03,0.45
[2026-05-08 00:13:23.958] ,510,27.24,32.32,100575.01,274973.16,7.81,8.27,8.27,8.28,54.76,62.09,62.32,62.33,62.34,0.45
[2026-05-08 00:13:28.975] ,509,27.25,32.31,100575.35,276981.34,7.87,8.33,8.34,8.34,55.18,62.57,62.8,62.82,62.82,0.45
[2026-05-08 00:13:33.991] ,509,27.26,32.33,100576.52,277206.28,8.01,8.49,8.5,8.5,56.2,63.72,63.96,63.97,63.98,0.46
[2026-05-08 00:13:39.000] ,511,27.25,32.32,100574.7,278109.72,7.73,8.19,8.2,8.2,54.21,61.47,61.7,61.72,61.72,0.45
[2026-05-08 00:13:44.010] ,510,27.2,32.32,100576.38,279247.34,8.03,8.51,8.53,8.53,56.32,63.87,64.11,64.13,64.13,0.46
[2026-05-08 00:13:49.031] ,509,27.24,32.36,100576.86,277431.59,8.29,8.79,8.8,8.81,58.09,65.88,66.13,66.15,66.16,0.46
[2026-05-08 00:13:54.041] ,509,27.28,32.38,100575.53,278791.19,7.99,8.48,8.5,8.51,55.99,63.51,63.77,63.78,63.79,0.45
[2026-05-08 00:13:59.062] ,510,27.3,32.37,100576.16,277431.59,8.27,8.78,8.8,8.82,57.92,65.71,65.98,66,66,0.45
[2026-05-08 00:14:04.066] ,511,27.27,32.31,100577.77,277883.31,8.48,9.01,9.04,9.05,59.41,67.41,67.68,67.7,67.71,0.45
[2026-05-08 00:14:09.082] ,510,27.28,32.32,100577.28,278336.5,8.73,9.27,9.3,9.32,61.16,69.39,69.67,69.69,69.69,0.45
[2026-05-08 00:14:14.097] ,508,27.32,32.32,100576.55,277431.59,8.55,9.08,9.11,9.12,59.86,67.92,68.19,68.21,68.22,0.46
