,co2,temp,humidity,pressure,gas_resistance,pm1_0,pm2_5,pm4_0,pm10_0,pnc_0_5,pnc_1_0,pnc_2_5,pnc_4_0,pnc_10_0,tps,
[2026-05-06 14:39:45.586] ,466,29.19,28.73,100549.47,232780.17,1.07,1.13,1.13,1.13,7.49,8.49,8.52,8.52,8.52,0.42,
[2026-05-06 14:39:50.593] ,466,29.19,28.74,100549.46,236489.61,1.23,1.3,1.3,1.3,8.6,9.75,9.78,9.79,9.79,0.42,
[2026-05-06 14:39:55.615] ,467,29.16,28.76,100550.14,233736.59,1.33,1.4,1.4,1.4,9.3,10.54,10.58,10.58,10.58,0.42,
[2026-05-06 14:40:00.626] ,469,29.15,28.78,100550.57,235186.03,1.43,1.52,1.52,1.52,10.05,11.4,11.44,11.44,11.44,0.42,
[2026-05-06 14:40:05.633] ,471,29.15,28.72,100551.16,236489.61,1.4,1.48,1.48,1.48,9.83,11.15,11.19,11.19,11.19,0.42,
[2026-05-06 14:40:10.645] ,469,29.15,28.71,100548.63,235024.09,1.4,1.49,1.49,1.49,9.85,11.17,11.21,11.21,11.21,0.42,
[2026-05-06 14:40:15.665] ,467,29.14,28.72,100550.21,237146.83,1.43,1.51,1.51,1.51,10.01,11.35,11.39,11.39,11.39,0.43,
[2026-05-06 14:40:20.678] ,466,29.13,28.76,100549.77,238305.8,1.42,1.51,1.51,1.51,10,11.33,11.37,11.38,11.38,0.43,
[2026-05-06 14:40:25.684] ,465,29.13,28.74,100550.94,239981.25,1.4,1.48,1.48,1.48,9.8,11.11,11.15,11.15,11.15,0.43,
[2026-05-06 14:40:30.705] ,466,29.13,28.49,100550.35,241509.44,1.4,1.48,1.48,1.48,9.82,11.13,11.17,11.17,11.17,0.43,
[2026-05-06 14:40:35.715] ,465,29.12,28.19,100550.27,243230.41,1.35,1.43,1.43,1.43,9.5,10.76,10.8,10.8,10.81,0.43,
[2026-05-06 14:40:40.723] ,462,29.11,28.01,100550.48,242711.55,1.31,1.38,1.38,1.38,9.17,10.4,10.43,10.44,10.44,0.43,
