,co2,temp,humidity,pressure,gas_resistance,pm1_0,pm2_5,pm4_0,pm10_0,pnc_0_5,pnc_1_0,pnc_2_5,pnc_4_0,pnc_10_0,tps,
[2026-05-06 15:08:20.176] ,452,28.88,27.43,100545.95,261291.14,20.07,21.55,21.82,21.96,140.03,159.27,160.13,160.21,160.23,0.48,
[2026-05-06 15:08:25.192] ,449,28.87,27.49,100546.79,260891.72,19.77,21.21,21.46,21.59,138.01,156.93,157.76,157.84,157.86,0.47,
[2026-05-06 15:08:30.202] ,447,28.86,27.4,100546.94,260891.72,19.16,20.54,20.76,20.88,133.8,152.11,152.9,152.97,152.99,0.47,
[2026-05-06 15:08:35.217] ,446,28.87,27.32,100548.59,262295.09,17.6,18.85,19.04,19.15,122.87,139.68,140.39,140.45,140.47,0.47,
[2026-05-06 15:08:40.225] ,444,28.88,27.26,100548.05,261691.8,15.99,17.12,17.3,17.4,111.64,126.91,127.56,127.61,127.63,0.48,
[2026-05-06 15:08:45.241] ,443,28.88,27.22,100549.69,262093.67,14.73,15.79,15.96,16.05,102.8,116.88,117.49,117.54,117.56,0.49,
[2026-05-06 15:08:50.259] ,443,28.88,27.21,100548.71,263306.75,14.21,15.25,15.45,15.54,99.11,112.72,113.34,113.39,113.41,0.5,
[2026-05-06 15:08:55.269] ,443,28.89,27.22,100547.72,262093.67,14,15.06,15.28,15.39,97.56,111.03,111.66,111.72,111.74,0.51,
[2026-05-06 15:09:00.276] ,441,28.89,27.25,100547.28,260493.52,13.21,14.24,14.47,14.59,91.99,104.74,105.36,105.42,105.44,0.51,
[2026-05-06 15:09:05.298] ,440,28.87,27.24,100549.03,263510.03,11.84,12.79,13.02,13.13,82.44,93.9,94.48,94.53,94.55,0.51,
[2026-05-06 15:09:10.311] ,438,28.86,27.21,100547.91,261691.8,11.41,12.35,12.57,12.69,79.42,90.48,91.05,91.11,91.12,0.5,
[2026-05-06 15:09:15.325] ,438,28.85,27.19,100549.67,262698.81,11.49,12.44,12.68,12.8,79.92,91.07,91.66,91.72,91.73,0.5,
[2026-05-06 15:09:20.338] ,438,28.86,27.2,100549.77,261691.8,11.87,12.87,13.12,13.26,82.55,94.09,94.71,94.77,94.78,0.5,
[2026-05-06 15:09:25.345] ,437,28.87,27.3,100549.49,259503.3,12.65,13.71,13.99,14.14,87.91,100.21,100.87,100.94,100.96,0.5,
[2026-05-06 15:09:30.365] ,436,28.87,28.11,100548.98,258716.53,33.81,36.65,37.4,37.79,235.05,267.93,269.7,269.88,269.92,0.51,
[2026-05-06 15:09:35.371] ,434,28.87,28.19,100548.89,260294.86,35.94,38.96,39.75,40.16,249.84,284.78,286.66,286.86,286.9,0.51,
[2026-05-06 15:09:40.390] ,432,28.87,28.1,100549.84,260692.47,30.43,33.03,33.73,34.1,211.43,241.07,242.7,242.87,242.91,0.51,
[2026-05-06 15:09:45.398] ,430,28.85,28.3,100547.81,260493.52,31.64,34.37,35.11,35.5,219.84,250.69,252.41,252.59,252.63,0.52,
[2026-05-06 15:09:50.416] ,431,28.86,28.62,100549.28,258520.58,33.48,36.35,37.13,37.54,232.63,265.26,267.06,267.25,267.29,0.52,
[2026-05-06 15:09:55.428] ,432,28.86,28.7,100550.4,259503.3,34.44,37.39,38.19,38.6,239.27,272.83,274.68,274.88,274.92,0.5,
[2026-05-06 15:10:00.439] ,431,28.86,28.42,100548.03,261892.58,33.94,36.76,37.48,37.86,236.05,269.01,270.76,270.93,270.97,0.49,
[2026-05-06 15:10:05.455] ,430,28.86,28.14,100549.66,260096.52,37.02,39.95,40.62,40.96,257.79,293.55,295.32,295.5,295.54,0.46,
[2026-05-06 15:10:10.470] ,430,28.87,27.94,100549.41,261091.28,34.41,37.05,37.59,37.88,239.82,272.94,274.51,274.66,274.7,0.47,
[2026-05-06 15:10:15.483] ,428,28.87,27.75,100549.25,259306.16,32.59,35.01,35.47,35.71,227.33,258.6,260.02,260.15,260.19,0.48,
[2026-05-06 15:10:20.493] ,430,28.89,27.64,100548.5,259898.48,30.55,32.78,33.16,33.37,213.21,242.46,243.75,243.86,243.89,0.47,
[2026-05-06 15:10:25.509] ,430,28.89,27.61,100550.43,259700.73,28.35,30.4,30.75,30.93,197.88,225,226.18,226.29,226.32,0.49,
[2026-05-06 15:10:30.526] ,431,28.89,27.59,100550.06,260891.72,27.23,29.21,29.56,29.74,190.02,216.09,217.24,217.34,217.37,0.49,
[2026-05-06 15:10:35.542] ,430,28.9,27.53,100549.92,259898.48,25.52,27.37,27.69,27.86,178.13,202.55,203.62,203.72,203.74,0.49,
[2026-05-06 15:10:40.553] ,429,28.9,27.49,100550.55,259700.73,42.27,45.27,45.75,46,295.13,335.5,337.22,337.37,337.41,0.47,
[2026-05-06 15:10:45.564] ,430,28.89,27.49,100550.58,262496.78,42.07,45.02,45.46,45.69,293.89,334.01,335.68,335.83,335.87,0.48,
[2026-05-06 15:10:50.575] ,430,28.86,27.66,100550.24,259306.16,40.13,42.9,43.28,43.48,280.44,318.65,320.2,320.33,320.37,0.47,
[2026-05-06 15:10:55.593] ,432,28.87,27.73,100550.36,260692.47,41.38,44.21,44.59,44.79,289.2,328.57,330.16,330.29,330.33,0.48,
[2026-05-06 15:11:00.602] ,432,28.87,27.61,100549.91,261892.58,30.94,33.06,33.35,33.49,216.25,245.7,246.88,246.98,247.01,0.49,
[2026-05-06 15:11:05.616] ,432,28.85,27.48,100549.88,262496.78,22.08,23.59,23.79,23.89,154.34,175.34,176.18,176.25,176.27,0.47,
[2026-05-06 15:11:10.631] ,431,28.87,27.44,100549.85,261892.58,30.63,32.71,32.98,33.13,214.08,243.21,244.37,244.47,244.5,0.49,
[2026-05-06 15:11:15.645] ,431,28.89,27.58,100549.27,257934.52,178.72,191.02,192.69,193.57,1248.96,1419.09,1425.99,1426.56,1426.73,0.49,
[2026-05-06 15:11:20.665] ,429,28.9,27.79,100549.81,254094.3,107,114.49,115.59,116.17,747.47,849.49,853.74,854.1,854.2,0.49,
[2026-05-06 15:11:25.675] ,434,28.85,29.48,100547.1,256963.61,63.15,67.7,68.47,68.86,440.82,501.21,503.84,504.07,504.14,0.5,
[2026-05-06 15:11:30.692] ,434,28.83,29.66,100548.14,253152.05,65.32,70.1,70.95,71.4,455.81,518.38,521.16,521.41,521.48,0.51,
[2026-05-06 15:11:35.705] ,432,28.84,29.86,100548.62,253716.55,75.55,81.2,82.28,82.84,526.89,599.41,602.73,603.04,603.12,0.51,
[2026-05-06 15:11:40.720] ,433,28.77,29.49,100549.01,258716.53,73.99,79.66,80.83,81.45,515.69,586.9,590.28,590.6,590.68,0.51,
[2026-05-06 15:11:45.735] ,433,28.74,29.27,100549.9,257545.27,70.54,76.07,77.28,77.91,491.39,559.43,562.76,563.08,563.16,0.52,
[2026-05-06 15:11:50.745] ,433,28.72,29.48,100553.88,254853.16,69.49,74.91,76.09,76.71,484.06,551.07,554.33,554.65,554.73,0.5,
[2026-05-06 15:11:55.756] ,433,28.73,29.76,100552.1,251473.48,215.67,232.66,236.45,238.43,1502.07,1710.25,1720.51,1721.51,1721.76,0.49,
[2026-05-06 15:12:00.770] ,435,28.74,30.82,100552.2,244624.94,297.79,321.46,326.89,329.71,2073.5,2361.24,2375.61,2377.01,2377.36,0.48,
[2026-05-06 15:12:05.787] ,435,28.74,31.29,100552.91,243925.67,387.88,418.73,425.81,429.5,2700.71,3075.52,3094.25,3096.09,3096.54,0.49,
[2026-05-06 15:12:10.807] ,435,28.73,31.09,100551.53,247104.25,214.75,232.13,236.3,238.47,1494.5,1702.42,1713.06,1714.12,1714.38,0.48,
[2026-05-06 15:12:15.825] ,437,28.75,30.43,100552.24,252403.25,108.38,117.17,119.3,120.41,754.17,859.13,864.53,865.07,865.2,0.48,
[2026-05-06 15:12:20.840] ,437,28.77,29.73,100552.7,254853.16,83.66,90.43,92.06,92.9,582.26,663.26,667.4,667.82,667.92,0.47,
[2026-05-06 15:12:25.855] ,440,28.74,29.25,100554.13,256963.61,85.25,92.03,93.58,94.39,593.58,675.95,680.06,680.46,680.56,0.45,
[2026-05-06 15:12:30.871] ,442,28.71,29.24,100552.88,253905.28,173.43,186.97,189.92,191.46,1208.2,1375.44,1383.59,1384.37,1384.57,0.45,
[2026-05-06 15:12:35.878] ,441,28.71,29.49,100551.44,253152.05,218.5,235.61,239.38,241.34,1521.98,1732.75,1743.06,1744.06,1744.31,0.47,
[2026-05-06 15:12:40.895] ,441,28.69,29.86,100551.38,249269.72,252.15,271.47,275.45,277.53,1757.48,2000.14,2011.64,2012.73,2013.01,0.46,
[2026-05-06 15:12:45.915] ,442,28.7,30.4,100550.51,246925.48,347.95,374.8,380.46,383.42,2424.68,2759.8,2775.85,2777.39,2777.78,0.46,
[2026-05-06 15:12:50.925] ,442,28.72,31.12,100552.22,246925.48,394.4,426.39,434.09,438.1,2744.69,3126.62,3146.22,3148.17,3148.65,0.52,
[2026-05-06 15:12:55.947] ,443,28.72,30.62,100551.55,247283.27,330.64,358.92,366.58,370.58,2297.45,2619.59,2637.35,2639.19,2639.62,0.49,
[2026-05-06 15:13:00.958] ,443,28.69,30.62,100553.83,244449.75,262.74,285.13,291.16,294.31,1825.79,2081.67,2095.71,2097.17,2097.51,0.5,
[2026-05-06 15:13:05.974] ,443,28.72,30.79,100553.8,248362.84,258.56,281.21,287.65,291.01,1795.29,2047.92,2062.29,2063.81,2064.15,0.51,
[2026-05-06 15:13:10.995] ,444,28.74,30.22,100552.71,251103.48,216.75,235.22,240.19,242.79,1506.24,1717.33,1728.91,1730.11,1730.39,0.49,
[2026-05-06 15:13:16.010] ,445,28.76,29.68,100553.72,253339.94,150.4,163.08,166.41,168.15,1045.48,1191.76,1199.67,1200.49,1200.68,0.49,
[2026-05-06 15:13:21.019] ,447,28.77,29.31,100554.3,252030.52,140.81,152.79,156,157.68,978.56,1115.66,1123.17,1123.95,1124.13,0.49,
[2026-05-06 15:13:26.035] ,448,28.79,29.1,100552.63,255043.59,138,149.62,152.67,154.26,959.31,1093.52,1100.76,1101.5,1101.68,0.46,
[2026-05-06 15:13:31.052] ,448,28.79,29.08,100555.09,252590.03,136.05,147.28,150.09,151.56,946.34,1078.34,1085.28,1085.98,1086.15,0.47,
[2026-05-06 15:13:36.065] ,448,28.82,29.05,100551.89,252030.52,138.1,149.51,152.38,153.87,960.55,1094.56,1101.61,1102.33,1102.5,0.47,
[2026-05-06 15:13:41.080] ,448,28.8,29.07,100553.21,252403.25,250.46,271.07,276.21,278.9,1742.24,1985.18,1997.91,1999.19,1999.5,0.46,
[2026-05-06 15:13:46.099] ,449,28.78,29.19,100554.26,250550.53,262.93,284.71,290.22,293.1,1828.65,2083.88,2097.36,2098.73,2099.06,0.46,
[2026-05-06 15:13:51.110] ,450,28.78,29.13,100554.65,252964.42,227.05,245.45,249.88,252.19,1580.05,1799.9,1811.18,1812.31,1812.58,0.46,
[2026-05-06 15:13:56.130] ,450,28.78,28.92,100553.73,255234.3,140.74,151.94,154.51,155.86,979.9,1115.9,1122.71,1123.38,1123.54,0.49,
[2026-05-06 15:14:01.139] ,450,28.79,28.86,100554.66,254283.58,114.81,123.76,125.71,126.73,799.79,910.49,915.87,916.39,916.52,0.48,
[2026-05-06 15:14:06.155] ,449,28.84,28.81,100552.8,253339.94,101.13,108.88,110.47,111.3,704.9,802.22,806.83,807.27,807.38,0.49,
[2026-05-06 15:14:11.170] ,448,28.87,28.69,100552.77,253152.05,93.81,100.83,102.18,102.89,654.22,744.28,748.41,748.79,748.89,0.48,
[2026-05-06 15:14:16.187] ,448,28.89,28.54,100553.01,251658.89,91.09,97.92,99.24,99.93,635.24,722.71,726.73,727.1,727.2,0.49,
[2026-05-06 15:14:21.195] ,448,28.91,28.46,100552.96,253339.94,90.13,96.98,98.36,99.08,628.36,715.03,719.09,719.47,719.57,0.47,
[2026-05-06 15:14:26.216] ,448,28.89,28.36,100552.46,256192.14,98.79,106.31,107.84,108.63,688.65,783.66,788.13,788.55,788.66,0.5,
[2026-05-06 15:14:31.227] ,448,28.91,28.32,100552.01,254663.02,123.5,132.94,134.87,135.88,860.86,979.68,985.29,985.82,985.96,0.49,
[2026-05-06 15:14:36.241] ,447,28.92,28.3,100551.38,255234.3,130.57,141.04,143.49,144.77,908.95,1035.23,1041.61,1042.24,1042.4,0.51,
[2026-05-06 15:14:41.251] ,449,28.9,28.28,100550.37,253716.55,125.83,136.66,139.63,141.19,874.14,996.82,1003.64,1004.36,1004.52,0.51,
[2026-05-06 15:14:46.265] ,449,28.91,28.29,100550.12,256000,124.39,135.39,138.58,140.24,863.43,985.11,992.12,992.87,993.04,0.51,
[2026-05-06 15:14:51.280] ,449,28.93,28.26,100549.36,255808.14,111.52,121.49,124.43,125.97,773.89,883.13,889.5,890.19,890.34,0.51,
[2026-05-06 15:14:56.289] ,451,28.96,28.25,100552,254853.16,99.78,108.92,111.73,113.19,691.88,789.9,795.8,796.44,796.58,0.53,
[2026-05-06 15:15:01.305] ,450,28.97,28.25,100551.66,253528.09,94.84,103.51,106.18,107.57,657.61,750.77,756.37,756.98,757.11,0.49,
[2026-05-06 15:15:06.322] ,450,28.97,28.22,100550.66,253716.55,93.31,101.88,104.53,105.92,646.9,738.6,744.15,744.75,744.88,0.5,
[2026-05-06 15:15:11.338] ,451,28.97,28.13,100550.95,253528.09,92.8,101.51,104.3,105.76,642.93,734.39,740.07,740.7,740.84,0.5,
[2026-05-06 15:15:16.344] ,450,28.99,28.12,100551.37,250000,93.21,101.87,104.61,106.03,645.99,737.73,743.36,743.98,744.11,0.5,
[2026-05-06 15:15:21.362] ,449,28.93,28.63,100549.23,249451.89,239.76,261.82,268.66,272.23,1662.21,1897.89,1912.17,1913.73,1914.07,0.51,
[2026-05-06 15:15:26.374] ,450,28.95,28.86,100550.11,250918.89,205.07,224.55,230.91,234.23,1420.23,1622.63,1635.4,1636.82,1637.12,0.51,
[2026-05-06 15:15:31.390] ,450,28.96,28.96,100552.73,247821.88,234.01,256.77,264.47,268.48,1619.42,1851.09,1866.15,1867.84,1868.19,0.5,
[2026-05-06 15:15:36.408] ,450,28.95,29.07,100552.04,249634.33,242.31,265.37,272.92,276.86,1678.1,1917.31,1932.44,1934.12,1934.48,0.5,
[2026-05-06 15:15:41.418] ,450,28.92,29.26,100550.98,246746.98,243.78,266.62,273.93,277.74,1689.06,1929.25,1944.15,1945.79,1946.14,0.5,
[2026-05-06 15:15:46.431] ,449,28.88,29.22,100550.35,249087.81,242.91,265.35,272.36,276.02,1683.83,1922.72,1937.28,1938.87,1939.21,0.51,
[2026-05-06 15:15:51.446] ,449,28.85,29.36,100550.25,247642.08,241.26,263.64,270.68,274.35,1672.19,1909.59,1924.13,1925.72,1926.07,0.51,
[2026-05-06 15:15:56.465] ,447,28.82,29.38,100550.67,250183.23,241.53,264.09,271.27,275.02,1673.64,1911.52,1926.22,1927.84,1928.19,0.52,
[2026-05-06 15:16:01.477] ,446,28.82,29.6,100549.6,247642.08,241.65,264.41,271.74,275.57,1674.08,1912.32,1927.19,1928.83,1929.19,0.49,
[2026-05-06 15:16:06.490] ,448,28.83,29.99,100549.02,246568.75,242.39,264.96,272.11,275.84,1679.78,1918.41,1933.1,1934.71,1935.06,0.5,
[2026-05-06 15:16:11.499] ,448,28.85,30.29,100550.1,244100.12,235.61,257.57,264.52,268.15,1632.81,1864.78,1879.07,1880.63,1880.97,0.49,
[2026-05-06 15:16:16.514] ,448,28.86,30.42,100549.79,246213.03,216.03,236.17,242.57,245.9,1497.03,1709.74,1722.86,1724.3,1724.61,0.48,
[2026-05-06 15:16:21.535] ,446,28.89,30.39,100550.24,245328.22,210.59,230.28,236.56,239.84,1459.21,1666.64,1679.48,1680.89,1681.19,0.5,
[2026-05-06 15:16:26.547] ,446,28.9,29.98,100550.65,248001.94,211.63,231.77,238.37,241.81,1465.59,1674.51,1687.73,1689.2,1689.51,0.51,
[2026-05-06 15:16:31.561] ,446,28.92,29.61,100550.51,246213.03,219.3,239.53,245.82,249.11,1520.31,1735.94,1749.04,1750.47,1750.78,0.49,
[2026-05-06 15:16:36.573] ,447,28.94,29.47,100553.01,246568.75,226.65,247.03,253.1,256.27,1572.51,1794.66,1807.73,1809.14,1809.45,0.47,
[2026-05-06 15:16:41.586] ,449,28.81,29.66,100552.02,243925.67,247.66,269.62,276.01,279.34,1719.01,1961.35,1975.36,1976.85,1977.18,0.49,
[2026-05-06 15:16:46.606] ,450,28.85,29.87,100551.23,242884.25,309.81,337.06,344.87,348.94,2150.88,2453.73,2471.05,2472.89,2473.3,0.49,
[2026-05-06 15:16:51.620] ,451,28.87,29.84,100551,242366.86,306.83,334.77,343.3,347.74,2127.91,2429.13,2447.15,2449.1,2449.53,0.51,
[2026-05-06 15:16:56.629] ,453,28.87,29.62,100549.77,244274.81,305.28,334.71,344.53,349.65,2113.25,2415.12,2434.52,2436.69,2437.15,0.53,
[2026-05-06 15:17:01.645] ,454,28.88,29.83,100550.6,244100.12,301.72,331,340.87,346.01,2088.17,2386.79,2406.14,2408.31,2408.77,0.49,
[2026-05-06 15:17:06.665] ,452,28.91,30.03,100550.56,239140.59,299.62,328.6,338.32,343.39,2073.84,2370.25,2389.38,2391.52,2391.97,0.49,
[2026-05-06 15:17:11.675] ,453,28.93,30.06,100551.69,242023.16,298.54,326.34,335.13,339.72,2068.9,2362.8,2380.89,2382.87,2383.3,0.48,
[2026-05-06 15:17:16.695] ,453,28.94,30.03,100552.42,239812.64,298.57,326.15,334.76,339.26,2069.65,2363.29,2381.17,2383.13,2383.55,0.48,
[2026-05-06 15:17:21.705] ,451,28.95,29.9,100550.6,240658.05,297.8,325.81,334.82,339.52,2063.15,2356.7,2375,2377.01,2377.45,0.48,
[2026-05-06 15:17:26.719] ,451,28.96,29.85,100550.91,240997.88,296.45,324.43,333.48,338.2,2053.57,2345.92,2364.21,2366.24,2366.67,0.48,
[2026-05-06 15:17:31.737] ,451,28.93,29.78,100549.95,243403.84,294.29,321.89,330.72,335.33,2039.06,2329.04,2347.04,2349.03,2349.45,0.51,
[2026-05-06 15:17:36.751] ,452,28.89,29.63,100550.24,243751.48,293.98,321.15,329.65,334.08,2037.81,2326.95,2344.57,2346.5,2346.92,0.5,
[2026-05-06 15:17:41.762] ,451,28.9,29.63,100548.79,242366.86,294.43,321.91,330.65,335.2,2040.3,2330.24,2348.14,2350.11,2350.53,0.51,
[2026-05-06 15:17:46.778] ,453,28.9,29.77,100549.75,242366.86,299.08,326.83,335.56,340.11,2072.91,2367.21,2385.23,2387.21,2387.64,0.47,
[2026-05-06 15:17:51.794] ,453,28.91,29.94,100550.28,242194.89,306.46,333.59,341.46,345.56,2127.19,2427.01,2444.3,2446.14,2446.55,0.47,
[2026-05-06 15:17:56.805] ,452,28.94,30.13,100550.82,239644.28,325.07,353.4,361.39,365.55,2257.41,2574.84,2592.79,2594.68,2595.1,0.48,
[2026-05-06 15:18:01.821] ,452,28.95,30.2,100550.24,239308.25,342.46,372.31,380.72,385.11,2378.17,2712.58,2731.49,2733.48,2733.93,0.5,
[2026-05-06 15:18:06.835] ,450,28.97,29.95,100550.49,239812.64,342.72,372.9,381.57,386.09,2379.25,2714.32,2733.52,2735.55,2736.01,0.48,
[2026-05-06 15:18:11.855] ,452,28.98,29.74,100549.52,239476.14,336.1,365.89,374.56,379.07,2332.85,2661.72,2680.72,2682.74,2683.2,0.48,
[2026-05-06 15:18:16.869] ,451,28.97,29.69,100550.41,240827.84,330.08,360.21,369.42,374.23,2289.01,2613.14,2632.58,2634.69,2635.15,0.48,
[2026-05-06 15:18:21.883] ,450,28.97,29.95,100550.36,238472.28,329.97,360.38,369.83,374.77,2287.53,2611.94,2631.64,2633.79,2634.26,0.51,
[2026-05-06 15:18:26.895] ,451,28.99,30.58,100551.66,236653.58,333.32,364.37,374.21,379.35,2309.89,2638.06,2658.27,2660.49,2660.97,0.49,
[2026-05-06 15:18:31.913] ,452,29,30.94,100552.39,234378.58,336.16,367.07,376.64,381.64,2330.62,2661.03,2681.03,2683.21,2683.69,0.49,
[2026-05-06 15:18:36.929] ,455,29,31.21,100553.8,233576.64,341.49,373.15,383.11,388.3,2366.9,2702.91,2723.47,2725.72,2726.21,0.5,
[2026-05-06 15:18:41.946] ,454,29.01,31.36,100552.47,234862.39,346.53,378.64,388.73,393.99,2401.86,2742.8,2763.66,2765.94,2766.43,0.48,
[2026-05-06 15:18:46.956] ,457,29.03,31.14,100553.11,235348.2,353.09,385.5,395.52,400.74,2448.12,2795.09,2816.06,2818.34,2818.84,0.48,
[2026-05-06 15:18:51.976] ,458,29.04,30.81,100552.28,236489.61,355.68,388.61,398.93,404.32,2465.38,2815.28,2836.66,2838.99,2839.5,0.5,
[2026-05-06 15:18:56.985] ,458,29.02,30.45,100552.1,239644.28,353.78,386.53,396.79,402.14,2452.27,2800.29,2821.55,2823.87,2824.37,0.48,
[2026-05-06 15:19:02.005] ,457,29,30.27,100550.74,238973.16,351.72,384.18,394.3,399.58,2438.2,2784.07,2805.11,2807.41,2807.91,0.49,
[2026-05-06 15:19:07.014] ,458,28.99,30.18,100552.02,239308.25,345.97,378.86,389.62,395.23,2395.98,2737.48,2759.05,2761.45,2761.96,0.52,
[2026-05-06 15:19:12.031] ,455,28.99,30.17,100552.18,239644.28,341.1,374.17,385.3,391.11,2360.77,2698.32,2720.17,2722.62,2723.14,0.5,
[2026-05-06 15:19:17.039] ,456,29,30.2,100550.68,238139.53,338.54,370.81,381.4,386.93,2344.37,2678.65,2699.84,2702.19,2702.69,0.49,
[2026-05-06 15:19:22.055] ,458,29.01,30.22,100550.3,238973.16,338.92,370.32,380.18,385.32,2349.16,2682.61,2703,2705.23,2705.71,0.48,
[2026-05-06 15:19:27.075] ,457,29,30.18,100550.94,241680.44,337.6,367.78,376.69,381.33,2342.62,2673.29,2692.61,2694.67,2695.13,0.48,
[2026-05-06 15:19:32.085] ,459,28.98,30.11,100551.61,241509.44,336.21,366.14,374.92,379.49,2333.26,2662.41,2681.54,2683.58,2684.03,0.49,
[2026-05-06 15:19:37.105] ,460,28.97,30.1,100549.86,240997.88,334.32,363.68,372.06,376.44,2321.15,2647.91,2666.56,2668.53,2668.97,0.49,
[2026-05-06 15:19:42.115] ,461,28.97,30.06,100550.73,241680.44,335.55,365.01,373.42,377.8,2329.7,2657.64,2676.35,2678.33,2678.78,0.5,
[2026-05-06 15:19:47.131] ,461,28.99,30.05,100551.86,242194.89,337.44,367.61,376.53,381.17,2341.53,2672.06,2691.37,2693.44,2693.9,0.5,
[2026-05-06 15:19:52.149] ,461,29.03,30.04,100551.88,240319.17,341.11,372.06,381.44,386.34,2365.87,2700.6,2720.53,2722.69,2723.16,0.5,
[2026-05-06 15:19:57.163] ,461,29.05,30.02,100554.2,239812.64,343.52,374.15,383.15,387.85,2383.92,2720.29,2739.87,2741.96,2742.43,0.47,
[2026-05-06 15:20:02.182] ,460,29.05,29.93,100555.36,240658.05,343.99,374.75,383.83,388.57,2386.93,2723.88,2743.57,2745.67,2746.14,0.51,
[2026-05-06 15:20:07.191] ,460,29.05,29.82,100555.41,240658.05,342.46,372.6,381.24,385.75,2377.49,2712.29,2731.45,2733.48,2733.94,0.47,
[2026-05-06 15:20:12.206] ,460,29.02,29.79,100552.7,240150.09,337.72,367.34,375.79,380.19,2344.84,2674.87,2693.68,2695.67,2696.12,0.48,
[2026-05-06 15:20:17.225] ,460,28.99,29.81,100551.18,242539.08,336.06,366.3,375.34,380.05,2331.45,2660.89,2680.3,2682.38,2682.85,0.49,
[2026-05-06 15:20:22.244] ,460,28.96,29.82,100551.78,240827.84,334.67,364.47,373.2,377.76,2322.58,2650.23,2669.27,2671.3,2671.75,0.49,
[2026-05-06 15:20:27.258] ,460,28.93,29.86,100550.2,242711.55,332.23,361.98,370.79,375.38,2305.3,2630.78,2649.83,2651.87,2652.32,0.49,
[2026-05-06 15:20:32.269] ,460,28.93,29.94,100550.59,241168.16,331.67,361.93,371.18,376.01,2300.04,2625.72,2645.24,2647.36,2647.82,0.49,
[2026-05-06 15:20:37.285] ,458,28.94,30.04,100551.4,241509.44,332.46,361.96,370.54,375.02,2307.57,2632.9,2651.72,2653.72,2654.17,0.47,
[2026-05-06 15:20:42.302] ,458,28.94,30.09,100551.38,239812.64,333.51,362.2,370.07,374.18,2316.95,2642.11,2660.18,2662.06,2662.49,0.48,
[2026-05-06 15:20:47.316] ,457,28.97,30.12,100551.15,240150.09,329.47,358.34,366.55,370.83,2287.66,2609.59,2627.9,2629.84,2630.28,0.5,
[2026-05-06 15:20:52.329] ,458,29,30.01,100551.46,240997.88,327.6,356.02,363.96,368.1,2275.33,2595.05,2613.02,2614.9,2615.33,0.5,
[2026-05-06 15:20:57.343] ,458,29.02,29.86,100551.25,240658.05,328.69,356.94,364.68,368.72,2283.56,2604,2621.78,2623.63,2624.05,0.48,
[2026-05-06 15:21:02.362] ,458,28.99,29.73,100550.4,242711.55,331.21,359.64,367.41,371.46,2301.17,2624.01,2641.89,2643.75,2644.18,0.49,
[2026-05-06 15:21:07.376] ,457,28.97,29.64,100552.21,241680.44,333.27,362.29,370.45,374.71,2314.41,2639.81,2658.19,2660.12,2660.56,0.51,
[2026-05-06 15:21:12.385] ,457,28.94,29.65,100549.2,244100.12,337.26,367.21,375.94,380.49,2340.78,2670.85,2689.96,2691.99,2692.45,0.51,
[2026-05-06 15:21:17.404] ,457,28.92,29.68,100549.49,242366.86,340.02,371.34,381.07,386.15,2357.24,2691.51,2711.8,2714.01,2714.49,0.51,
[2026-05-06 15:21:22.422] ,456,28.95,29.68,100549.49,241338.67,343.73,375.98,386.32,391.71,2381.49,2720.21,2741.26,2743.58,2744.08,0.5,
[2026-05-06 15:21:27.434] ,458,28.97,29.67,100549.63,240997.88,341.75,373.2,382.95,388.04,2369.34,2705.28,2725.64,2727.85,2728.34,0.48,
[2026-05-06 15:21:32.444] ,460,28.99,29.72,100550.01,241509.44,340.85,371.45,380.56,385.31,2364.91,2698.94,2718.56,2720.67,2721.14,0.49,
[2026-05-06 15:21:37.463] ,459,29,29.66,100551.62,240319.17,341.25,371.06,379.5,383.9,2369.66,2702.98,2721.88,2723.87,2724.32,0.49,
[2026-05-06 15:21:42.481] ,459,28.99,29.52,100549.41,242539.08,344.83,374.87,383.32,387.73,2394.72,2731.43,2750.45,2752.45,2752.9,0.49,
[2026-05-06 15:21:47.492] ,460,28.95,29.43,100549.3,243751.48,353.17,383.38,391.57,395.84,2453.99,2798.08,2817.05,2819.02,2819.48,0.49,
[2026-05-06 15:21:52.507] ,460,28.93,29.41,100547.95,243751.48,358.66,389.52,398,402.42,2491.64,2841.34,2860.78,2862.8,2863.27,0.47,
[2026-05-06 15:21:57.518] ,460,28.92,29.5,100548.58,242884.25,357.97,388.58,396.87,401.2,2487.38,2836.14,2855.35,2857.35,2857.81,0.47,
[2026-05-06 15:22:02.533] ,458,28.94,29.62,100548.2,240319.17,346.55,376.3,384.43,388.67,2407.75,2745.54,2764.25,2766.2,2766.65,0.48,
[2026-05-06 15:22:07.553] ,458,28.97,29.69,100548.94,238305.8,340.21,369.56,377.67,381.9,2363.29,2695.1,2713.61,2715.54,2715.98,0.5,
[2026-05-06 15:22:12.571] ,457,28.98,29.77,100547.5,238472.28,341,370.54,378.75,383.04,2368.56,2701.3,2719.94,2721.9,2722.35,0.45,
[2026-05-06 15:22:17.585] ,459,28.99,29.79,100549.66,239812.64,343.83,372.84,380.49,384.48,2390.01,2724.48,2742.59,2744.45,2744.89,0.47,Cooking stopped
[2026-05-06 15:22:22.599] ,458,28.99,29.77,100550.9,239644.28,347.05,375.98,383.4,387.27,2413.3,2750.42,2768.38,2770.21,2770.64,0.5,
