,co2,temp,humidity,pressure,gas_resistance,pm1_0,pm2_5,pm4_0,pm10_0,pnc_0_5,pnc_1_0,pnc_2_5,pnc_4_0,pnc_10_0,tps
[2026-05-11 09:23:11.862] ,597,28.03,31.06,100222.96,297501.44,0.63,0.95,1.18,1.3,3.78,4.74,5.01,5.05,5.06,0.69
[2026-05-11 09:23:11.865] ,598,28.01,31.1,100219.44,294930.88,0.63,0.94,1.16,1.28,3.74,4.69,4.96,5,5,0.7
[2026-05-11 09:23:11.866] ,599,28,31.05,100215.2,296725.59,0.62,0.92,1.14,1.26,3.69,4.62,4.88,4.92,4.93,0.7
[2026-05-11 09:23:14.781] ,600,28,30.99,100213.5,296210.59,0.58,0.86,1.06,1.17,3.45,4.32,4.56,4.6,4.6,0.7
[2026-05-11 09:23:19.806] ,599,27.99,30.77,100215.43,299327.69,0.57,0.85,1.05,1.16,3.42,4.28,4.52,4.56,4.56,0.69
[2026-05-11 09:23:24.814] ,599,27.97,30.71,100217.6,299327.69,0.6,0.89,1.11,1.22,3.6,4.5,4.75,4.79,4.8,0.7
[2026-05-11 09:23:29.831] ,599,27.97,30.72,100217.46,298281.38,0.67,1,1.24,1.36,4.03,5.05,5.32,5.37,5.37,0.69
[2026-05-11 09:23:34.834] ,597,27.98,30.81,100217.22,297760.97,0.67,0.99,1.23,1.35,4.02,5.03,5.3,5.34,5.35,0.69
[2026-05-11 09:23:39.857] ,595,27.98,30.86,100216.62,297760.97,0.68,1,1.24,1.36,4.07,5.09,5.37,5.41,5.41,0.69
[2026-05-11 09:23:44.865] ,595,27.97,30.66,100217.01,300117.22,0.68,1.01,1.25,1.37,4.11,5.13,5.41,5.45,5.46,0.69
[2026-05-11 09:23:49.886] ,595,27.97,30.66,100218.72,298542.28,0.67,0.99,1.22,1.34,4.03,5.03,5.31,5.35,5.35,0.68
[2026-05-11 09:23:54.900] ,596,27.98,30.68,100219.07,298542.28,0.66,0.97,1.19,1.3,3.97,4.95,5.21,5.25,5.25,0.68
[2026-05-11 09:23:59.915] ,598,28,30.69,100218.43,297242.38,0.65,0.94,1.16,1.27,3.9,4.85,5.11,5.15,5.15,0.68
[2026-05-11 09:24:04.921] ,595,27.73,30.74,100216.95,244976.08,2296,4487.91,6190.27,7078.22,11163.86,16071.82,18000.54,18294.13,18336.04,1.48
[2026-05-11 09:24:09.941] ,603,27.54,31.24,100216.84,160050.02,4068.36,10970.61,16481.42,19355.85,12536.89,25273.4,31421.69,32366.62,32499.8,1.07
[2026-05-11 09:24:14.956] ,604,27.61,31.49,100218.99,143739.47,596.21,1323.43,1896.1,2194.8,2519.58,4005.59,4649.41,4747.89,4761.86,0.73
[2026-05-11 09:24:19.970] ,604,27.66,31.42,100218.8,140543.52,143.9,274.79,376.13,428.99,715.22,1014.15,1129.17,1146.65,1149.15,0.72
[2026-05-11 09:24:24.989] ,604,27.72,31.45,100218.84,142420.03,186.27,332.08,443.72,501.96,982.55,1337.87,1465.38,1484.69,1487.46,0.76
[2026-05-11 09:24:29.998] ,604,27.76,31.4,100216.54,147465.44,679.6,1187.46,1574.88,1776.96,3642.64,4906.73,5350.12,5417.19,5426.85,0.8
[2026-05-11 09:24:35.014] ,603,27.8,31.33,100218.16,151928.78,380.99,669.09,889.08,1003.83,2033.99,2747.19,2998.82,3036.9,3042.38,0.84
[2026-05-11 09:24:40.030] ,603,27.83,31.34,100219.5,156097.56,169.55,287.31,376.58,423.14,930.24,1233.65,1336.18,1351.65,1353.89,0.76
